Table 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Situation of Major Economic Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
( Rs. in Billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulars,2019,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mid-Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar-Apr,Apr-May,May-Jun,Jun-Jul,Jul-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-Jul,Jul-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-Jul,Jul-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-July,July-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-July,July-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-July,July-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,May-Jun,Jun-July,July-Aug,Aug-Sep,Sep-Oct,Oct-Nov,Nov-Dec,Dec-Jan,Jan-Feb,Feb-Mar,Mar-Apr,Apr-May,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Inflation (y-o-y) (%),4.44,5.29,6.16,6.02,6.95,6.16,6.21,5.76,6.55,6.82,6.87,6.7,6.74,5.83,4.54,4.78,3.49,4.52,3.79,4.05,2.93,3.56,2.7,3.03,3.1,3.65,4.19,4.19,4.35,3.49,4.24,6.04,7.11,5.65,6.24,7.14,7.28,7.87,8.56,8.08,8.26,8.64,8.5,8.08,7.38,7.26,7.88,7.44,7.76,7.41,6.83,7.44,7.52,8.19,7.5,5.38,4.95,5.26,5.01,4.82,4.61,4.4,4.17,3.57,4.09,3.86,4.82,5.6,6.05,5.406829190900169,4.159413908110949,3.749435102931244,3.38808360603997,2.765899558454791,2.72314347462992,2.2049167587984613,1.684792735588431,1.8661299149643327,1.47,1.1055679622641748,1.6320201178311464,2.419317071252891,3.246110105248931,3.6187407944810985,4.46918868862993,5.041249981101117,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Inflation (Compared to previous month) (%),0.58,1.19,1.14,0.64,2.58,-0.15,0.68,0.2,-0.23,-0.1,0.29,-0.27,0.62,0.34,-0.1,0.86,1.33,0.84,-0.03,0.44,-1.3,0.51,-0.55,0.05,0.69,0.87,0.43,0.85,1.49,0.01,0.7,2.18,0.38,-0.86,0.01,1.16,0.81,1.43,1.07,0.41,1.66,0.36,0.56,1.79,-0.96,-0.96,0.58,0.48,1.12,1.09,0.53,0.99,1.74,0.98,-0.09,-0.22,-1.36,-0.67,0.35,0.3,0.92,0.89,0.3,0.41,0.9,0.56,0.89,0.45,-0.39,-0.9682546014137472,-0.597045674731291,0.07022928972213549,0.3415751001977867,0.5708889546235412,0.28271782142694235,0.08368169596435848,0.38942865414672667,0.7430545543983982,0.4969321498215322,0.09294019188317293,0.12672654982046083,-0.20110079148307136,0.20539738527840257,0.4313977489874645,1.1651257492912208,1.1216036049673193,,,,,,,,,,,,,,,,,,,,,,,
Food and Beverage (%),1.35,1.54,2.52,1.4,3.1,-0.34,1.6,0.08,-0.57,-0.38,-0.6,-0.66,1.68,0.59,-0.55,1.71,2.76,1.11,0.26,0.3,-1.04,-1.29,-1.8,0.1,1.37,1.79,0.88,1.31,0.87,-0.15,1.3,2.05,-0.2,-1.99,-0.86,1.53,1.26,1.53,1.17,0.8,1.07,0.84,1.19,1.42,-2.24,-2.19,-0.32,1.06,2.51,0.21,1.28,2.45,2.55,1.57,-0.07,-0.8,-3.08,-1.57,0.37,0.52,1.81,1.22,0.79,0.84,1.75,0.47,1.9,0.89,-1.54,-3.053737193013987,-2.2567592512192363,-0.3984476665996368,0.7301518889194512,0.565134694532162,0.05510305826832962,-0.17462031881953521,0.6237605207957984,1.4343609393857406,0.6652027250857913,0.07158898957627002,-0.2429432198472199,-1.1099726071293787,0.2724516354460462,0.6707497351598875,1.129817227175451,1.1692105156826642,,,,,,,,,,,,,,,,,,,,,,,
Non Food and Service (%),-0.02,0.93,0.06,0.04,2.18,-0.01,-0.03,0.28,-0.04,0.11,1,0.04,-0.21,0.14,0.26,0.2,0.22,0.62,-0.25,0.56,-1.51,1.93,0.46,0.01,0.15,0.16,0.08,0.5,1.98,0.13,0.23,2.28,0.83,0.03,0.69,0.84,0.47,1.35,1,0.11,2.12,-0.02,0.07,2.07,0.06,0.01,1.3,0.02,0.05,1.79,-0.05,-0.15,1.11,0.52,-0.1,0.24,0.01,0.03,0.34,0.12,0.23,0.64,-0.07,0.06,0.43,0.62,0.31,0.2,0.28,0.22813499628426825,0.3239130130124863,0.323618640595555,0.13370833893890222,0.5750431425725964,0.40559905497525506,0.2222430935364912,0.2648921970579039,0.3707463237232673,0.4053631181187427,0.10516536495464379,0.3287815233503437,0.29158487851968573,0.16949968337218024,0.30321135473970173,1.183484445349464,1.0952051452617866,,,,,,,,,,,,,,,,,,,,,,,
Exports,8.6,8.7,9.3,9.3,8.837085431000002,9.664768917,8.664915741999998,9.112302141,11.337762672999997,9.662912357000002,7.691479188999998,9.936719547000008,3.910715188999995,3.2461076909999975,5.938340630000006,9.705995690809985,9.620048874,10.823013238569406,10.603030794000002,9.153971590999994,9.855543963999997,10.743605183000007,9.117866228999992,10.861781660000007,13.988248195999986,13.71264637599999,12.774203174000009,19.870121321000013,20.76512,23.274471081140003,21.013243035459993,17.071460835099998,20.79627719590001,15.930388503000009,12.805050675899999,16.090055090499984,12.826843497700029,12.775302322499979,12.488806187500012,14.19394359369998,14.8097003972,13.8707368534,13.139755383099997,12.954123727999999,12.530185834000003,13.502918746100011,12.624917590699988,11.363854677100012,13.5,12.620074957100005,12.6865071279,13.554151111700008,13.5286559182,12.9183771775,14.427858083499997,9.690489774600012,12.642053743599986,11.760644164600004,11.862833120000003,13.78653281549999,13.328562386499994,12.226902391400005,13.08878503649999,13.118911008400005,12.226147389499998,12.866955306200001,13.285614485,14.291993365,20.989099999999997,25.129476004499995,28.415599999999998,30.967599999999997,30.0226681667,29.7159894884,29.659069257099986,29.459988570500002,23.932440834199998,23.385221881100005,25.465142207299998,20.712971283499996,23.0132603171,25.508979871,26.12780745509997,22.966206754500035,31.824193575200013,26.02644617020001,,,,,,,,,,,,,,,,,,,,,,,
Imports,112.5,116.5,121.7,118.7,106.725318032,122.778378384,105.44566687999998,115.34953719000006,130.95821800499985,113.43660435399995,108.90909283699992,120.63982126237498,58.29220710599993,42.60294239462528,75.67563745599985,95.98562895724993,85.807989392,93.03827834394937,113.423592832,110.22031778099999,123.00796492999996,135.74725217300002,142.39779807199992,140.34505871700028,167.40720660099993,142.714722725,129.254745077,156.47214416599996,150.73172,163.78538973870002,164.00611078349996,171.7710936721001,188.11392955619993,160.93446560839993,148.12172846590016,161.2704205735,157.92714528299985,137.99051673269994,158.57057859910023,157.22525381250006,131.2860657588,142.3135867135,127.39864964929997,131.6930797685,132.05506910940002,127.91983947180002,126.499058586,139.2201821796,143.1,133.81347143339994,145.6586643723001,130.75064344700013,129.23897136579998,130.51092728540002,148.00907701229997,104.7444989764,129.70549055349997,125.95760704810007,129.77732876639993,132.2788003441001,137.14710855300007,135.98723144820008,150.34715288619986,139.28133683290002,128.3771212308,134.1655051482,128.20969569620001,122.63571746039999,148.1005,160.8808102522,166.21720000000002,156.9785,163.96659834,164.6554593771,170.61048115890003,159.3251461614,143.04066883,162.11443031300004,162.9282225125,141.3679120458,156.7379600515,172.83369086279998,184.46333007039993,165.7640182186999,201.24863415100003,202.14377566160005,,,,,,,,,,,,,,,,,,,,,,,
Travel Income,7.1,9.2,5.6,5.1,4.364934783511851,5.846896243448092,7.1147820398708825,9.81656933288426,8.415910294168345,5.72620129955469,6.721899446630792,5.349425983325724,3.319131986052169,0.8975851746487679,1.0526790993911417,2.2593447698212477,0.6080163817353058,0.3689293452864375,0.5045736958745263,0.4067749398834362,0.4288232468140627,1.0144551027566318,0.5550970514483861,0.5816265586551954,1.0903924761483068,0.6792386052555658,0.45504007610695135,0.5733101194235988,1.3289019647923614,1.37877261194304,1.4970065396380796,1.9033130634676227,1.7664337212596575,2.36975327968882,1.106766346526727,3.1423075184198277,3.979948610208459,3.978515344242758,3.070508132261919,6.924984071342231,2.598598120074695,3.3514707849837215,5.455195353508603,6.554339507065749,5.667190568069777,4.4538982098969955,4.155196523735696,4.887361740892691,7,7.709858669621355,6.18413677639291,3.462508353911545,4.389790031124207,4.946285312231867,7.68007264943512,8.719212141189514,8.210545806931949,5.610397220693095,5.839204360487868,5.991109563430195,9.066145472608305,8.957071258129965,7.144611566744516,5.772118230909044,4.771253428240175,5.782904003619427,7.20410573534487,9.14076581792055,8.359041734324897,6.620906900765139,7.402031719546571,7.5017776106777845,9.876735671665564,9.165821904528427,6.503116089793485,6.332333298582289,5.377155284682441,6.207154894674079,7.6106343425375105,7.957609290786979,6.81641968776321,8.236183581690035,5.787308262877363,7.392884490616219,8.711326003616254,10.087826796853122,,,,,,,,,,,,,,,,,,,,,,,
Travel Spending,6.4,5.7,6.8,9.1,7.021935306905652,7.611077684084039,6.371185730820996,4.583795941357603,5.724127152546891,6.151212275577018,6.030689677257149,5.633401283249797,1.3404390045535548,0.6011786556880834,0.7635418679450376,1.304769119131728,1.6108868210817873,1.3462071283099049,2.3592422358068235,2.757531929585737,3.4382688833154553,3.666396368068483,3.767612706308184,3.7678732761618523,4.135049211455065,2.7680688415224504,1.1719416350481697,2.0110594350312456,5.12109995310327,5.154239255316436,4.98914712689776,3.89032158652144,4.675274328486463,5.885919720289003,6.586906314070689,10.544482652290746,15.044593313615216,10.18431954625417,11.293227094107205,13.9533890669859,10.04858572273001,7.898565340325035,8.089904974542474,7.027719842568576,9.010581590171363,9.373495031813718,11.120761041482613,13.553348053106465,15.5,10.884389680497218,17.4992898974499,24.472787074172885,17.25581274627433,18.339178582701834,16.207953469751985,10.120700537828355,13.809473594969148,17.141499746204545,11.871366464142952,18.066097901964852,20.410579768674594,13.72970533589762,18.206715390627778,14.274895684122157,22.315672741421206,20.862406043588248,12.308818868019038,12.260635148620773,16.750136471926677,16.82829496828803,14.017588421518381,32.22971985193616,22.26420519735679,14.38440002060763,18.95734787425039,20.53868640294844,21.700547696147392,25.610423027774743,17.28254373788667,11.151138828153867,13.225965128848737,16.59103438578514,15.703975345713552,23.853453852434672,20.245852379597956,12.502120075871732,,,,,,,,,,,,,,,,,,,,,,,
Remittance Inflows,71,72.1,73.7,80.3,75.40147187661967,77.94993589584604,76.51054872091137,73.79824879171562,72.01968632418937,70.27351505481387,65.98603995155531,79.25283967093156,34.516808462657735,53.971844563358815,93.97756417329539,101.36845329110034,92.74276005228114,73.0277061719454,93.1705292279606,78.87700641248098,79.14362113537061,78.50978765838116,72.41896379158572,74.44200780322758,86.88686898567533,81.03830328034284,61.04497225593508,89.75205049859166,76.62535229512484,79.53094866879967,84.48482549183117,73.3704486709164,76.49853250049117,80.20947018991781,72.13674704887578,91.06993655452088,93.55305244251474,87.05076068795623,92.38719722159091,100.38960241101961,92.20677379926812,94.83254712047423,94.01178475281398,96.99152802254227,102.4605996589697,104.57279782404942,104.8018017578843,104.44379162112043,109.1,101.78853349433032,107.342297978693,108.0370500675815,116.01912383583807,112.3521622823401,136.96794094551717,112.62531875571256,135.28900184943683,119.9710486358249,105.77532365207429,122.22208863749711,121.39330119294868,115.98762768346324,128.90509744595988,117.8070555081415,136.6028815465613,127.99485799056085,144.17018120115654,114.30514475319791,118.79339733471095,122.44151645111813,137.5009769822705,151.19062010498465,139.5377751932056,165.29963407257435,176.31974741123176,189.11332993392165,177.41157754941813,174.67307715744226,201.22358032108767,133.82044053990197,183.18161247095594,192.6191699135223,198.0840914994448,188.6390685642839,209.75342860808362,257.49494385199995,,,,,,,,,,,,,,,,,,,,,,,
Government Expenditure,81.1,86.2,-,-,4.296,55.1118,118.5983,48.0096,72.6913,111.7603,76.6199,124.11,64.6,85.8,122.2964,210.4501,1.9791,66.5898,132.5082,67.8922,59.489,87.2873,83.9367,71.3389,119.4533,134.3342,92.0455,264.0989,10.5,79.4433,144.5879,53.0155,99.4951,119.6587,84.3319,84.27210000000001,118.959,114.6016,126.7501,260.6,22.2587,112,143.8,72.82,84.22,141,91.3,111.57,163.8215,104.70939999999996,128.31,253.4983,35.037,96.1043,149.4312,75.0615,97.3617,113.6256,120.1324,114.8291,107.8086,147.501,124.4049,226.7226,40.2076,97.3451,191.6484,85.819,141.0976,111.4842,87.2515,84.5026,159.16520000000003,159.3713,125.0518,240.1625,46.31,133.86,184.42,104.30000000000001,95.58119999999997,125,111.2,125.2,133.37069999999994,113.563,,,,,,,,,,,,,,,,,,,,,,,
Current Expenditure,57.7,65.3,-,-,3.5904,50.088,103.0768,40.1515,50.0214,62.7201,56.1021,85.0726,44.6,76.7,98.3864,115.984,1.7283,61.5151,119.374,47.4037,50.7219,61.6135,64.3693,49.0904,71.2303,103.1579,70.4099,151.0641,9.6,49.0373,127.9286,46.9845,83.8209,89.0814,69.2138,62.8117,87.0651,91.3739,97.6664,146.9,5.6572,103.1,115,57.63,72.87,100.87,76.37,77.34,97.9214,79.97670000000005,90.65,128.365,12.1358,75.5277,125.7269,57.7843,88.821,77.3855,71.661,73.0677,61.9155,108.5319,70.252,128.8325,12.3822,70.6043,146.8656,62.6746,71.0247,88.4516,70.6223,61.5025,93.96249999999998,95.1364,78.3552,128.8002,18.48,95.71,142.62,64.09999999999997,77.05719999999997,89,75.2,79.7,105.379,67.13,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditure,19.2,19.4,-,-,0.5965,4.5376,13.2335,6.4679,12.7748,25.5334,14.1316,19.5734,8.7,9.1,11.9388,65.1834,0.1333,3.6194,11.2931,14.3994,6.4965,14.8752,12.0264,16.8534,26.1428,20.0438,17.2061,85.2112,0.9,1.6737,12.2806,5.9028,7.6114,22.4045,9.9816,16.3572,26.6428,14.4796,19.6939,78.4,1.4846,4.4,13.8,6.62,7.6955,19.463,12.84,17.96,22.9874,18.4362,27.4,80.6117,0.8231,7.3408,9.6692,12.1563,60.709,13.1755,14.3431,17.6359,16.1626,14.5055,23.0963,56.7672,8.5548,6.3392,14.4806,5.1564,6.2696,16.1344,11.4809,13.9201,20.564800000000005,17.4756,23.0124,79.2935,0.73,5.619999999999999,12.83,6.129999999999999,8.5643,15,14.3,14.75,17.706300000000002,17.65,,,,,,,,,,,,,,,,,,,,,,,
Revenue,81,59.1,-,-,66.7729,59.4435,63.4515,58.1362,61.016,124.334,59.1302,54.4345,43.9,16.1,41.0966,145.9892,58.8148,46.566,66.9832,67.7888,61.1356,120.9475,76.2887,72.6788,112.6668,77.1333,51.3495,125.9693,93.3,75.3164,86.4617,79.2746,78.0895,129.6511,71.3564,71.2885,104.561,76.438,76.4273,125.8,79.7225,64.1,64.8,59.49,58.8184,132.096,55.7,68.08,108.7286,72.44720000000007,80.6,120.2998,78.8741,62.203,78.038,57.5249,86.7892,133.0706,70.9032,71.6431,108.9951,83.892,87.2568,139.7064,94.74,71.6446,81.8724,74.98,76.3589,160.0085,83.2465,77.4928,111.05779999999993,91.0274,93.6534,162.7302,84.47,73.06,91.52,77.60000000000002,79.75369999999998,171,87.6,82.26,139.0031,102.27,,,,,,,,,,,,,,,,,,,,,,,
Deposit Mobilization,24.9,29.2,43,129.3,-14.2,28.376088183696847,82.3293410902098,4.81675695920409,82.3293410902098,69.4211491258661,8.21566055894177,51.0122925857757,53.4,44.8,74.1,173.1,-5.4,23.40888464067178,169.646254006211,3.3805596508719,60.3139891257123,100.873111782419,23.4156055150204,45.1177785447128,103.885294528526,25.9363253422575,37.647476431374436,234.78768972294404,-76.013134869745,107.22532453759108,24.888546991641633,6.31726908276509,16.017182480326852,100.63071944914758,-11.727280987090431,24.777841982428917,44.11234099540673,-4.9053882667832,34.434530436928384,154.28204776178114,-100.7669976502331,57.1070774089554,66.3460890312511,24.0545841927621,64.4140249634003,103.980280248043,38.8306654674038,26.6057802507299,75.3167518827934,14.8874661732604,74.3500042590518,182.1208965072725,-133.2371749183135,125.677555669041,166.05799233284407,-3.8857211696083027,109.106329457668,113.34746679362809,20.1356437809439,38.6652969175763,-26.823692380519496,34.03804029885679,71.4902578773517,227.79851548454,-43.4531572219301,78.4847332748333,134.9656054640794,-20.15463117002789,22.477046844408846,66.73598963350616,6.287994819649495,31.88614047060068,91.24323871871647,31.339807934780605,117.78898204746656,293.8867184130112,-55.78990887355991,144.4427229319196,185.853707734529,3.65932364959828,59.5175882987678,135.582038602885,16.2366059790756,48.2966907033994,133.66068245546612,69.7368608965706,,,,,,,,,,,,,,,,,,,,,,,
Private Sector Credit,46.5,15.6,24.8,30.1,14.7,57.32866617278987,50.5453412280497,21.2855668470463,50.5453412280497,70.291456675956,7.45634927358897,35.5998347958582,40,-13.3,-10.4,36.8,-17.3,34.066778443716004,113.091079555077,26.2758937631165,70.212135214489,139.965695013183,85.5335878923163,108.02214195769,163.774910927647,40.8508345249048,34.22568677223707,76.28636369684338,47.363386481807105,187.29042983582661,80.3754895541612,49.5938192575313,58.511228156520055,69.49951582928468,11.360889163871295,18.49629330392927,28.148450646029787,-2.495311918566,4.567581102081575,-16.426263226679527,-2.307214918313548,26.3969497490972,61.4160648845434,9.44569045578502,4.74754994692374,64.0240876472322,10.7983517810674,-19.9442943328721,33.7987650005565,-8.81375225110352,4.19934825853351,18.57045411306806,-4.354135293352417,37.9493519544592,75.43385886658356,-9.63116090450529,10.6575068072844,82.58605711067933,4.56512010394968,2.29439851654786,22.72057356902064,3.0247821279810743,21.5674487769743,30.134058889275416,14.108387412614189,59.277544100692495,55.26006909539085,-0.1795286433119327,49.82476538727526,87.26509340380878,17.90283528845571,21.35713600168191,56.21736782163076,7.647500115958974,38.94065006285068,16.112206641802565,-2.9261073327520863,52.16798478889559,33.6916644696351,-17.890790772506,37.2002022637892,95.2249615977304,24.3729718096423,21.6966703944429,68.41708639330976,0.05020301613211632,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Deposit Rate (%),6.7,6.7,6.6,6.6,6.8,6.796934455638009,6.752836530381439,6.812104227644717,6.799075280104169,6.72,6.780041240180373,6.773224127474397,6.7,6.4,6.2,6,5.8,5.605723681566924,5.448534678129671,5.3083686809997035,5.143364303457323,5.000981577404195,4.864351689582626,4.764646585627345,4.785174100990238,4.814180209380089,4.718386809484225,4.65,4.76,4.920085619390994,5.427251270331453,5.8,6.240637178902934,6.367261862048495,6.49,6.929281879736388,7.1057230357513985,7.253697766488381,7.344963502511258,7.4065960507324,7.637347342677988,7.805758849583307,8.156465798866506,8.319510568751951,8.459647523999154,8.507764414947133,8.405799498098874,8.374546580819562,8.262332048072546,8.083541376271501,7.9935794016801145,7.8602755862174645,8.00497435260812,8.062958035010555,7.9,7.764857420907917,7.62,7.32,7.01,6.742109639154794,6.53,6.35,6.172621684049208,5.773187203927609,5.657782577186157,5.531244196027666,5.237356153801667,5.012935457433992,4.780908646976548,4.752150933556466,4.622200068405988,4.539934317575964,4.449992384087778,4.37203160253861,4.294696153908364,4.19094269560633,4.015412981449491,3.9627673369850474,3.8528151668117374,3.7431717329478724,3.6612251970214276,3.5621877432001683,3.5052065488406976,3.447437540823216,3.4,3.3478763556353743,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Lending Rate (%),12.3,12.2,12.2,12.1,12.1,11.96590336030568,11.98479244278075,12.073929961045465,11.932860907827484,12.29,11.93890115549449,11.795105403448739,11.8,11,10.4,10.1,10.5,10.178098954428284,9.831864981290702,9.517731632300432,9.369728994641058,9.09422022011081,8.89127454358934,8.727605094208064,8.613269184147743,8.534244808580496,8.459129253330053,8.434801897175857,8.48,8.565492039727948,8.69,9.02,9.29312259091204,9.440224456843413,10.31,10.603007556868986,10.78427637181439,11.418644910857113,11.53937423853144,11.620299693912473,11.9352313050618,12.060672464651923,12.1869417261003,12.649630175408365,12.735165389766548,12.78585747325813,13.0333481903709,13.034284933532549,12.839437652453611,12.649870217159112,12.534739692054348,12.2968211469067,12.243697262021449,12.234427425431878,12.11,11.95612012774439,11.85,11.38,11.08,10.77524006184935,10.55,10.34,10.154948961007413,9.934009948215072,9.681970756181395,9.521362313827812,9.333785129124424,9.070682268687692,8.89688266383858,8.692166727871259,8.545012960543449,8.401583365481748,8.219215426100392,8.10677168677882,7.99369434046947,7.851180327695915,7.755916639652328,7.66137137213452,7.502424315547212,7.376444888405675,7.261655375274568,7.116897116689119,7.000272440090749,6.8971129639818844,6.77,6.727633925454733,,,,,,,,,,,,,,,,,,,,,,,
Base Rate of Commercial Banks (%),9.64,9.59,9.48,9.57,9.45,9.527979765420787,9.56386875,9.5,9.464769906053156,9.8,9.453117732961099,9.452060260371313,9.36,8.96,8.66,8.5,8.08,7.8336111428311135,7.734984874224413,7.565152851903175,7.363262032503893,7.177026309280699,6.971835736059872,6.835133023878162,6.896793466017893,6.828902157493114,6.6641308725619615,6.864127077806029,6.713518466601397,6.892596275430902,7.570251835158348,7.8163103691076605,8.246662922188067,8.424928454915309,8.53,8.975187988281675,9.174848675380607,9.300706488697939,9.38952555910231,9.5417696777586,9.716983741172184,10.005106428718225,10.344957282097605,10.597351812859308,10.693651046404524,10.913824406250901,10.724862279815689,10.6375305832792,10.479652097888163,10.274045903906298,10.182070387705506,10.02593375268152,10.108775285196504,10.144591341771251,9.936143148935539,9.740907724997276,9.6415728407501,9.35,9.06,8.76630530657419,8.510761353474045,8.338184455222429,8.172371808776674,8.004528783345014,7.61,7.485474040732224,7.287561768605455,7.021438893304847,6.818919733963023,6.64895488723069,6.46269017018024,6.338308921990858,6.288971160247698,6.16737693927695,6.088170967321515,6.022046799989949,5.7849189904499605,5.716640780399368,5.564456647269467,5.441248936311107,5.3832636655591575,5.2919990286006895,5.123501750432599,5.100950233484057,5.06,4.9711854083163365,,,,,,,,,,,,,,,,,,,,,,,
Source : Nepal Rastra Bank and FCGO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
